revision,layer,group_family,group,n,mean_curvature,mean_entropy,mean_speed,curvature_entropy_pearson
step128,5,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_006_019,2,2.0791553258895874,9.672223091125488,15.934326648712158,1.0
step128,5,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_020_049,33,2.100739764444756,8.864298098015063,16.313533811858207,0.25346860651074005
step128,5,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_050_099,46,2.1043902298678523,9.02547199829765,16.067194814267367,-0.04311718100979575
step128,5,surface_combo,word_start|other_punct_only|unknown_before_first_boundary|tok_006_019,29,2.095953176761496,8.968350640658674,15.340595376902613,-0.29062376371304854
step128,5,surface_combo,word_start|other_punct_only|unknown_before_first_boundary|tok_020_049,8,2.1093277037143707,8.629397988319397,15.621784210205078,0.06661874774751375
step128,5,surface_combo,word_start|sentence_punct_only|sentence_punct_token|tok_006_019,24,2.108881508310636,7.774114469687144,15.593172709147135,-0.11053447744884726
step128,5,surface_combo,word_start|sentence_punct_only|sentence_punct_token|tok_020_049,60,2.1039580782254537,7.239696137110392,16.04002502759298,0.12389432152485116
step128,5,surface_combo,word_start|sentence_punct_only|sentence_punct_token|tok_050_099,53,2.0824440740189463,6.735652698660797,16.226793523104686,-0.10186925948876241
step128,15,all,all,2478,2.086587242102604,8.240045052860609,37.52313084098194,-0.06381072500088837
step128,15,token_class,other,18,2.156567699379391,9.033715671963161,42.675612131754555,0.09552067616133655
step128,15,token_class,punctuation,9,2.0583647754457264,9.989276674058702,40.51746792263455,0.10295637659879091
step128,15,token_class,word_piece_continuation,205,2.102858212517529,8.826027321233981,38.71448404265613,-0.07072517010109716
step128,15,token_class,word_start,2246,2.084654385928904,8.173190413167301,37.361100073701444,-0.07283237373125648
step128,15,punct_kind,contains_other_punct,18,2.156567699379391,9.033715671963161,42.675612131754555,0.09552067616133655
step128,15,punct_kind,no_punct,2069,2.090901877466407,8.180919844396106,37.352763389377216,-0.08044228232258577
step128,15,punct_kind,other_punct_only,254,2.0638205174386033,9.259651544525868,38.01367294882226,-0.05834780397712573
step128,15,punct_kind,sentence_punct_only,137,2.0544421272556277,7.138321960059396,38.509611853717885,0.17635348774627935
step128,15,sentence_zone,after_sentence_13_plus,483,2.0756115886242,8.124218217581202,36.42600848511879,-0.1052282900426026
step128,15,sentence_zone,after_sentence_1_3,538,2.08903889230636,8.509337012209414,40.58123271615975,-0.06671846288480986
step128,15,sentence_zone,after_sentence_4_12,842,2.0880012522117544,8.25910622833602,37.45703166907304,-0.0858497957496125
step128,15,sentence_zone,sentence_punct_token,137,2.0544421272556277,7.138321960059396,38.509611853717885,0.17635348774627935
step128,15,sentence_zone,unknown_before_first_boundary,478,2.1016406668778744,8.336178612010748,35.02346325319681,-0.12026726909082698
step128,15,position_bin,tok_006_019,448,2.084699671449406,8.490565273378577,35.53163529719625,-0.11902353460258243
step128,15,position_bin,tok_020_049,960,2.0867000985890627,8.25347808599472,37.6078770617644,-0.04310238568733003
step128,15,position_bin,tok_050_099,1050,2.0888223523185365,8.123663024703662,38.29754596528553,-0.05804977204651897
step128,15,position_bin,tok_100_plus,20,2.0061084270477294,8.093663001060486,37.40801839828491,-0.1633144410399047
step128,15,surface_combo,other|contains_other_punct|after_sentence_13_plus|tok_020_049,1,2.027967691421509,9.053667068481445,41.266693115234375,nan
step128,15,surface_combo,other|contains_other_punct|after_sentence_13_plus|tok_050_099,4,2.100749224424362,8.940207481384277,43.87125492095947,-0.8806325197019264
step128,15,surface_combo,other|contains_other_punct|after_sentence_1_3|tok_006_019,1,2.3264734745025635,9.185190200805664,44.18098068237305,nan
step128,15,surface_combo,other|contains_other_punct|after_sentence_1_3|tok_020_049,1,2.1369903087615967,8.984359741210938,43.33268356323242,nan
step128,15,surface_combo,other|contains_other_punct|after_sentence_1_3|tok_050_099,1,2.006272554397583,8.940610885620117,36.949771881103516,nan
step128,15,surface_combo,other|contains_other_punct|after_sentence_4_12|tok_020_049,3,2.292214870452881,9.02180544535319,42.78204600016276,-0.6529611949486331
step128,15,surface_combo,other|contains_other_punct|after_sentence_4_12|tok_050_099,3,2.1415582497914634,8.900861104329428,42.401083628336586,0.6039729007408162
step128,15,surface_combo,other|contains_other_punct|unknown_before_first_boundary|tok_006_019,3,2.1469385623931885,9.302091280619303,42.57776133219401,0.5858473650383071
step128,15,surface_combo,other|contains_other_punct|unknown_before_first_boundary|tok_020_049,1,2.175382614135742,9.007950782775879,43.6631965637207,nan
step128,15,surface_combo,punctuation|other_punct_only|after_sentence_13_plus|tok_020_049,2,1.9956957697868347,9.968324661254883,39.100399017333984,-1.0
step128,15,surface_combo,punctuation|other_punct_only|after_sentence_13_plus|tok_050_099,2,2.2053138613700867,9.987700939178467,41.246564865112305,-1.0
step128,15,surface_combo,punctuation|other_punct_only|after_sentence_4_12|tok_020_049,2,2.0001420378684998,9.96268367767334,38.86859321594238,-1.0
step128,15,surface_combo,punctuation|other_punct_only|after_sentence_4_12|tok_050_099,2,1.9732147455215454,9.985490322113037,42.05918312072754,-1.0
step128,15,surface_combo,punctuation|other_punct_only|unknown_before_first_boundary|tok_020_049,1,2.1765501499176025,10.095090866088867,42.107730865478516,nan
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_020_049,19,2.0381498148566797,8.889132047954359,37.36738285265471,-0.188423309102045
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_050_099,38,2.1081138253211975,8.671891977912502,38.50949011350933,0.029349823713992883
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_100_plus,4,2.0332671105861664,8.518139481544495,42.03563976287842,0.14711380419071782
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_006_019,5,2.0784007787704466,9.408808708190918,37.4439998626709,0.09920121622344659
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_020_049,16,2.1575965508818626,8.86542809009552,40.379843950271606,0.08106609978948379
step128,15,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_050_099,15,2.1433043320973715,9.001082706451417,41.12389793395996,-0.2181707374305199
