model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg,3,triton,2,16,0.0,True,0.953125,0.18168284371495247
mg,3,triton,2,16,0.3,False,0.9462890625,0.22114026173949242
mg,3,triton,2,16,0.3,True,0.955078125,0.18260863423347473
mg,3,triton,2,16,0.6,False,0.94140625,0.24452216923236847
mg,3,triton,2,16,0.6,True,0.919921875,0.30814335495233536
mg,3,triton,2,32,0.0,False,0.947265625,0.2127409614622593
mg,3,triton,2,32,0.0,True,0.947265625,0.19684166461229324
mg,3,triton,2,32,0.3,False,0.93359375,0.25834135711193085
mg,3,triton,2,32,0.3,True,0.9326171875,0.2737586945295334
mg,3,triton,2,32,0.6,False,0.8740234375,0.4782886207103729
mg,3,triton,2,32,0.6,True,0.8818359375,0.4737457185983658
mg,3,triton,2,64,0.0,False,0.93359375,0.29006122052669525
mg,3,triton,2,64,0.0,True,0.9375,0.26883605122566223
mg,3,triton,2,64,0.3,False,0.794921875,0.6994104385375977
mg,3,triton,2,64,0.3,True,0.8740234375,0.4829128384590149
mg,3,triton,2,64,0.6,False,0.609375,1.3528862297534943
mg,3,triton,2,64,0.6,True,0.716796875,0.9704229831695557
mg,3,triton,4,8,0.0,False,0.833984375,0.613248661160469
mg,3,triton,4,8,0.0,True,0.8857421875,0.4399770349264145
mg,3,triton,4,8,0.3,False,0.861328125,0.5058925449848175
mg,3,triton,4,8,0.3,True,0.8935546875,0.4276479184627533
mg,3,triton,4,8,0.6,False,0.837890625,0.6180369406938553
mg,3,triton,4,8,0.6,True,0.8447265625,0.6087028086185455
mg,3,triton,4,16,0.0,False,0.8486328125,0.5524953752756119
mg,3,triton,4,16,0.0,True,0.8603515625,0.509026512503624
mg,3,triton,4,16,0.3,False,0.8720703125,0.5084041208028793
mg,3,triton,4,16,0.3,True,0.8486328125,0.5739758908748627
mg,3,triton,4,16,0.6,False,0.8544921875,0.5494049936532974
mg,3,triton,4,16,0.6,True,0.8232421875,0.6612729728221893
mg,3,triton,4,32,0.0,False,0.857421875,0.5142635703086853
mg,3,triton,4,32,0.0,True,0.8525390625,0.5355840474367142
mg,3,triton,4,32,0.3,False,0.841796875,0.6032949835062027
mg,3,triton,4,32,0.3,True,0.861328125,0.546978160738945
mg,3,triton,4,32,0.6,False,0.7958984375,0.7950081080198288
mg,3,triton,4,32,0.6,True,0.8037109375,0.713501900434494
mg,3,triton,4,64,0.0,False,0.8271484375,0.6860400885343552
mg,3,triton,4,64,0.0,True,0.8505859375,0.594508707523346
mg,3,triton,4,64,0.3,False,0.68359375,1.1097753047943115
mg,3,triton,4,64,0.3,True,0.7470703125,0.944090723991394
mg,3,triton,4,64,0.6,False,0.5703125,1.4777794778347015
mg,3,triton,4,64,0.6,True,0.599609375,1.3967827260494232
mg,3,triton,8,8,0.0,False,0.7197265625,1.0223248302936554
mg,3,triton,8,8,0.0,True,0.70703125,1.0645623803138733
mg,3,triton,8,8,0.3,False,0.7060546875,1.090830236673355
mg,3,triton,8,8,0.3,True,0.7109375,1.0666031390428543
mg,3,triton,8,8,0.6,False,0.6875,1.1409748196601868
mg,3,triton,8,8,0.6,True,0.6923828125,1.162302315235138
mg,3,triton,8,16,0.0,False,0.70703125,1.0647653192281723
mg,3,triton,8,16,0.0,True,0.740234375,0.9610781073570251
mg,3,triton,8,16,0.3,False,0.7255859375,1.0173606872558594
mg,3,triton,8,16,0.3,True,0.6796875,1.1890340149402618
mg,3,triton,8,16,0.6,False,0.6904296875,1.1500205993652344
mg,3,triton,8,16,0.6,True,0.689453125,1.207460343837738
mg,3,triton,8,32,0.0,False,0.7099609375,1.0614654123783112
mg,3,triton,8,32,0.0,True,0.6884765625,1.153281569480896
mg,3,triton,8,32,0.3,False,0.68359375,1.1571117341518402
mg,3,triton,8,32,0.3,True,0.7158203125,1.0869938731193542
mg,3,triton,8,32,0.6,False,0.62109375,1.3686507940292358
mg,3,triton,8,32,0.6,True,0.65234375,1.3327690958976746
mg,3,triton,8,64,0.0,False,0.693359375,1.1472225189208984
mg,3,triton,8,64,0.0,True,0.6669921875,1.2340762317180634
mg,3,triton,8,64,0.3,False,0.5810546875,1.5318886637687683
mg,3,triton,8,64,0.3,True,0.55078125,1.5997056365013123
mg,3,triton,8,64,0.6,False,0.45703125,1.9533430933952332
mg,3,triton,8,64,0.6,True,0.447265625,1.946276307106018
baseline,1,triton,1,8,0.0,False,1.0,0.0017285124631598592
baseline,1,triton,1,8,0.0,True,1.0,0.0015728861326351762
baseline,1,triton,1,8,0.3,False,1.0,0.005587479681707919
baseline,1,triton,1,8,0.3,True,1.0,0.005581255070865154
baseline,1,triton,1,8,0.6,False,0.9970703125,0.02185904374346137
baseline,1,triton,1,8,0.6,True,0.99609375,0.02723086718469858
baseline,1,triton,1,16,0.0,False,1.0,0.0017849899595603347
baseline,1,triton,1,16,0.0,True,1.0,0.0018403532449156046
baseline,1,triton,1,16,0.3,False,0.9990234375,0.010387420654296875
baseline,1,triton,1,16,0.3,True,0.9990234375,0.007721758564002812
baseline,1,triton,1,16,0.6,False,0.99609375,0.025704752188175917
baseline,1,triton,1,16,0.6,True,0.9951171875,0.025449511129409075
baseline,1,triton,1,32,0.0,False,1.0,0.004520622896961868
baseline,1,triton,1,32,0.0,True,1.0,0.005860822391696274
baseline,1,triton,1,32,0.3,False,0.998046875,0.030203281436115503
baseline,1,triton,1,32,0.3,True,0.9912109375,0.03706271480768919
baseline,1,triton,1,32,0.6,False,0.96875,0.11797774210572243
baseline,1,triton,1,32,0.6,True,0.9697265625,0.13788975775241852
baseline,1,triton,1,64,0.0,False,1.0,0.01084745698608458
baseline,1,triton,1,64,0.0,True,1.0,0.010326813207939267
baseline,1,triton,1,64,0.3,False,0.96484375,0.12847580946981907
baseline,1,triton,1,64,0.3,True,0.966796875,0.13590011931955814
baseline,1,triton,1,64,0.6,False,0.8779296875,0.36936821043491364
baseline,1,triton,1,64,0.6,True,0.8720703125,0.4178200215101242
baseline,1,triton,2,8,0.0,False,1.0,0.0016895286971703172
baseline,1,triton,2,8,0.0,True,1.0,0.0015043476596474648
baseline,1,triton,2,8,0.3,False,0.998046875,0.009693344472907484
baseline,1,triton,2,8,0.3,True,1.0,0.005315421964041889
baseline,1,triton,2,8,0.6,False,0.9990234375,0.019512513652443886
baseline,1,triton,2,8,0.6,True,0.9970703125,0.019044452346861362
baseline,1,triton,2,16,0.0,False,1.0,0.0016912634018808603
